frb_id,tsne_1,tsne_2,label
FRB20181222C,4.825206,64.29494,0
FRB20181222D,-46.50373,8.133477,0
FRB20181222E,46.02796,35.793365,0
FRB20181223A,43.304203,19.856201,1
FRB20181223B,-4.019726,11.635087,0
FRB20181223C,4.1596837,63.93084,0
FRB20181224A,-1.2111089,61.182358,0
FRB20181224B,42.107502,16.202618,0
FRB20181224C,11.005351,65.60475,0
FRB20181224D,7.9668303,61.4632,0
FRB20181224E,-7.350054,29.594517,0
FRB20181225A,3.0793378,57.903923,1
FRB20181225B,-4.7810407,24.020693,0
FRB20181226A,17.653812,15.778113,1
FRB20181226B,37.265675,36.1362,0
FRB20181226D,-9.257204,25.69305,0
FRB20181226E,-23.294882,26.896702,0
FRB20181226G,3.6846883,63.13386,0
FRB20181227A,-11.129398,19.874506,0
FRB20181228A,11.77053,47.0768,0
FRB20181228B,-43.404774,13.785954,0
FRB20181228C,35.73515,29.910885,0
FRB20181229A,35.449127,27.469372,0
FRB20181229B,-43.217823,2.2064884,0
FRB20181230A,-13.123622,-14.178427,0
FRB20181230B,8.015627,65.44309,0
FRB20181230C,36.215206,30.112875,0
FRB20181230D,0.31484216,-24.626774,0
FRB20181230E,44.37908,35.814285,0
FRB20181231A,9.756058,46.961918,0
FRB20181231B,0.8542472,-24.946688,0
FRB20181231C,-25.69358,25.27806,0
FRB20190101A,35.223755,15.501908,0
FRB20190101B,8.998346,65.63753,0
FRB20190102A,-50.862305,15.378442,0
FRB20190102B,0.31746632,-24.5418,0
FRB20190103A,-12.774065,0.42070505,1
FRB20190103B,11.737656,66.131454,0
FRB20190103C,42.57452,34.039234,0
FRB20190103D,41.561775,24.94368,0
FRB20190103E,7.556222,61.93007,0
FRB20190104A,-6.4455023,23.280128,0
FRB20190104B,44.270718,39.773636,0
FRB20190105A,41.827988,29.853851,0
FRB20190106A,-12.576702,3.7316732,0
FRB20190106B,48.387833,36.05805,0
FRB20190107A,-8.869836,-12.787342,0
FRB20190107B,-10.20129,26.054806,0
FRB20190109A,-4.9630985,16.239132,0
FRB20190109B,12.671078,41.532005,0
FRB20190110A,34.027084,29.485676,0
FRB20190110B,-7.3717036,4.5671463,0
FRB20190110C,1.7418947,65.40762,1
FRB20190111A,45.80362,12.800603,0
FRB20190111B,10.685042,48.233013,0
FRB20190112A,44.006493,20.459846,0
FRB20190113A,-13.229727,3.3126743,1
FRB20190114A,-57.35447,9.667828,0
FRB20190115A,40.36155,21.469698,0
FRB20190115B,-4.627928,20.81447,0
FRB20190116A,41.36757,20.83326,1
FRB20190116B,3.957061,65.23257,1
FRB20190116C,1.5610999,66.36946,0
FRB20190116D,-0.23240454,11.180109,0
FRB20190116E,9.044861,61.279087,0
FRB20190116F,-14.1008835,15.140145,0
FRB20190117A,37.59899,12.480169,1
FRB20190117C,-10.544311,17.775284,0
FRB20190117D,39.45317,13.665295,0
FRB20190118A,-45.82506,27.90696,0
FRB20190118B,43.066498,27.072847,0
FRB20190121A,3.2829247,14.240855,0
FRB20190122A,38.34961,32.742153,0
FRB20190122B,11.746997,49.36681,0
FRB20190122C,37.330303,36.220295,0
FRB20190124A,39.737755,19.732689,0
FRB20190124B,44.409084,17.83028,0
FRB20190124C,6.935154,15.652942,0
FRB20190124D,17.845089,15.028982,0
FRB20190124E,41.683544,19.155247,0
FRB20190124F,52.42361,24.787258,0
FRB20190125A,36.501083,15.015465,0
FRB20190125B,-37.064274,-3.448133,0
FRB20190126A,-6.847163,11.2120695,1
FRB20190127B,13.147467,67.94939,0
FRB20190128A,-17.884039,17.982025,0
FRB20190128B,11.015864,47.80086,0
FRB20190128C,-46.068478,7.5224333,0
FRB20190128D,7.4133134,64.086296,0
FRB20190129A,-11.794848,2.5595403,0
FRB20190130A,43.408005,30.177443,0
FRB20190130B,-49.202934,25.971579,0
FRB20190131B,42.13199,30.528803,0
FRB20190131C,-10.530816,22.917843,0
FRB20190131D,-5.0030465,28.55832,0
FRB20190131E,10.828581,41.626904,0
FRB20190201A,44.25235,37.94449,1
FRB20190201B,-23.19388,27.250675,0
FRB20190202A,-7.9180746,12.236891,0
FRB20190202B,-5.0765758,21.358776,0
FRB20190203A,-49.31057,25.514223,0
FRB20190203B,38.313717,15.553619,0
FRB20190203C,44.51714,36.814312,0
FRB20190204A,4.2229905,61.969913,0
FRB20190204B,-2.2984347,27.426619,0
FRB20190205A,42.809048,29.783197,0
FRB20190206A,2.2047987,13.009929,0
FRB20190206B,11.800453,42.45057,0
FRB20190206C,7.6787314,54.876587,0
FRB20190208A,-52.23447,-13.817552,1
FRB20190208B,-14.302546,12.240142,0
FRB20190208C,37.949387,31.328672,1
FRB20190209A,-55.374706,-3.1914184,1
FRB20190210A,-54.61623,-3.0747523,1
FRB20190210B,-4.6563554,30.926296,0
FRB20190210C,-7.1935916,24.196692,0
FRB20190210D,-37.120796,-10.079615,0
FRB20190210E,-20.689262,20.253233,0
FRB20190211A,7.8289704,65.95129,0
FRB20190211B,38.558197,16.034449,0
FRB20190212A,-46.479275,2.098074,1
FRB20190212B,0.93521357,62.181396,0
FRB20190212C,43.307663,18.88658,0
FRB20190212D,-0.6923187,6.0077553,0
FRB20190213A,-49.13146,5.0413613,1
FRB20190213B,-33.81778,7.5162163,1
FRB20190213C,-13.002794,19.318787,0
FRB20190213D,9.260013,62.640667,0
FRB20190214A,0.32267222,6.855455,0
FRB20190214C,4.6828337,58.048717,0
FRB20190215B,-4.2745366,30.447098,0
FRB20190216A,-10.51197,-9.851288,1
FRB20190217A,35.36233,27.128057,0
FRB20190217B,-1.3450142,11.684707,0
FRB20190218A,-7.0475144,22.59911,0
FRB20190218B,-6.031553,11.504112,0
FRB20190218C,-5.154965,31.98759,0
FRB20190219A,5.4604497,53.390865,0
FRB20190219B,2.440773,8.1260805,0
FRB20190219C,39.19829,14.984902,0
FRB20190220A,-18.041418,25.382433,0
FRB20190221A,41.701096,30.658512,0
FRB20190221B,-2.2413244,17.902992,0
FRB20190221C,1.2899241,7.617531,0
FRB20190221D,38.746834,15.554751,0
FRB20190222A,2.0662317,58.013737,1
FRB20190222B,-41.499153,4.1376386,0
FRB20190222C,-41.395447,23.417307,0
FRB20190222D,6.445339,65.449394,0
FRB20190223A,40.24881,30.699997,0
FRB20190223B,8.529426,61.556957,0
FRB20190224A,-41.57939,4.0305376,0
FRB20190224B,-13.281995,22.44142,0
FRB20190224C,-11.628012,2.5954862,0
FRB20190224D,43.171516,31.50993,1
FRB20190224E,45.374565,14.710697,0
FRB20190226A,12.029166,54.896862,0
FRB20190226B,-4.147897,12.99022,1
FRB20190226C,38.04998,14.301295,0
FRB20190227A,45.999775,13.275871,0
FRB20190227B,-17.571175,21.285122,0
FRB20190228A,13.994292,48.38283,0
FRB20190228B,2.1974635,4.7144613,0
FRB20190301A,38.447685,13.195898,1
FRB20190301B,9.605022,52.706116,0
FRB20190301C,-2.0414782,6.1345367,0
FRB20190301D,41.782734,28.958605,0
FRB20190302A,10.778867,61.580956,0
FRB20190303A,39.337635,14.609719,1
FRB20190303B,47.32269,12.709636,0
FRB20190303C,4.472454,63.383358,0
FRB20190303D,38.968994,15.009664,0
FRB20190304A,37.488285,26.428385,0
FRB20190304B,37.60547,26.36221,0
FRB20190304C,8.603896,58.852528,0
FRB20190307A,13.832823,35.722874,0
FRB20190307B,14.542669,34.412083,0
FRB20190308B,11.280537,42.658432,0
FRB20190308C,-49.978394,10.41638,0
FRB20190309A,-14.952894,20.965607,0
FRB20190313A,40.62594,29.151516,1
FRB20190313B,44.34236,46.62639,0
FRB20190316A,14.278907,56.141064,0
FRB20190317A,-19.23017,20.313457,0
FRB20190317B,7.115996,64.969864,0
FRB20190317C,13.251722,57.043053,0
FRB20190317D,0.37750164,14.841499,0
FRB20190317E,-4.922873,17.371716,0
FRB20190318A,2.3820207,11.21737,0
FRB20190319A,42.368828,31.188143,0
FRB20190320A,11.756773,48.35873,0
FRB20190320B,5.6301956,62.192677,0
FRB20190320C,-11.953005,21.707134,0
FRB20190320D,-13.947576,-13.028999,0
FRB20190320E,9.383673,46.5617,1
FRB20190322A,1.0178038,5.1816497,0
FRB20190322B,-13.056672,20.626055,0
FRB20190322C,-2.3333254,61.522907,0
FRB20190323A,38.667805,31.076977,0
FRB20190323B,46.875957,15.775945,0
FRB20190323C,-18.026407,19.875439,0
FRB20190323D,-14.072485,19.816534,0
FRB20190325A,-3.6707494,15.271593,0
FRB20190325B,-5.0666394,17.34172,0
FRB20190325C,41.03143,27.07139,0
FRB20190326A,41.190536,28.080667,0
FRB20190326B,44.799454,40.89375,0
FRB20190327A,-6.172957,26.585089,0
FRB20190328A,41.205845,21.15619,0
FRB20190328B,11.751144,51.931892,0
FRB20190328C,11.453993,46.447212,0
FRB20190329A,-14.9671335,18.9062,1
FRB20190329B,-0.7969255,17.052263,0
FRB20190329C,-2.7942567,26.1613,0
FRB20190330A,6.35886,63.202374,0
FRB20190330B,0.17863692,62.738167,0
FRB20190401A,3.2685378,13.303854,0
FRB20190402A,7.693138,63.668186,0
FRB20190403A,41.747368,28.447613,0
FRB20190403B,1.372191,11.282612,0
FRB20190403C,39.924114,16.505013,0
FRB20190403D,11.3057165,48.55695,0
FRB20190403E,1.9165298,9.3427,0
FRB20190403F,-2.4314973,7.0412173,0
FRB20190403G,5.4989223,65.630104,0
FRB20190404A,10.506649,48.951096,0
FRB20190404B,-2.462692,32.517857,0
FRB20190405A,-3.0460896,5.7081623,0
FRB20190405B,-6.9108176,13.432033,0
FRB20190406A,40.06866,21.915222,1
FRB20190408A,-8.178622,13.0172205,0
FRB20190409A,41.68137,30.273655,0
FRB20190409B,11.515649,66.05805,0
FRB20190409C,6.478416,62.913383,0
FRB20190409D,39.017574,32.94107,0
FRB20190410A,14.741708,47.18617,0
FRB20190410B,40.725346,33.033062,0
FRB20190411A,-10.998936,17.816692,0
FRB20190411B,-5.593666,21.086971,0
FRB20190411C,42.380054,13.822428,0
FRB20190412A,-2.2050583,27.490871,0
FRB20190412B,-16.435055,-8.26375,0
FRB20190414A,40.065132,22.261147,0
FRB20190414B,-1.4518638,8.344216,0
FRB20190415A,7.230889,64.93319,0
FRB20190415B,12.029305,65.805046,0
FRB20190416A,-0.2770596,11.157188,0
FRB20190416B,43.34899,24.580482,0
FRB20190417A,-51.533104,-14.44819,1
FRB20190417B,-13.893151,-13.081555,0
FRB20190417C,-0.9047434,61.667015,0
FRB20190418A,-41.791603,22.04758,0
FRB20190419A,10.935263,51.228687,0
FRB20190419B,-29.675255,29.24851,0
FRB20190420A,-15.590151,3.039207,0
FRB20190420B,3.1856194,14.119288,0
FRB20190420C,-5.934126,3.965314,0
FRB20190421A,13.313106,58.01155,1
FRB20190421B,46.183517,13.722854,0
FRB20190422A,11.475213,66.13275,0
FRB20190423A,2.5259066,32.111942,0
FRB20190423B,41.31761,18.582603,0
FRB20190423C,-0.91961133,12.723531,0
FRB20190423D,12.535868,47.663372,0
FRB20190424A,-10.1845255,25.247522,0
FRB20190425A,47.30875,15.472002,0
FRB20190425B,42.976505,36.30731,0
FRB20190426A,-39.458588,23.182405,0
FRB20190427A,10.7659025,46.7496,0
FRB20190428A,39.952007,32.93639,0
FRB20190429A,37.8709,17.946209,0
FRB20190429B,44.019447,25.810707,0
FRB20190430A,13.3687935,47.566013,0
FRB20190430B,-8.093244,-12.664255,0
FRB20190430C,12.485673,54.690357,1
FRB20190501B,5.6067476,55.1769,0
FRB20190502A,46.201057,13.182176,0
FRB20190502B,-0.688054,30.432377,0
FRB20190502C,43.030807,36.70678,0
FRB20190515A,-14.464203,-13.8677225,0
FRB20190515B,43.942936,34.57429,0
FRB20190515C,-51.367565,-9.897635,1
FRB20190515D,-8.350864,9.691939,0
FRB20190516B,-7.3535047,6.121921,0
FRB20190517B,-23.306513,19.043875,1
FRB20190517C,9.858949,42.03702,0
FRB20190518A,-24.642204,17.097284,1
FRB20190518B,-10.902898,22.15662,0
FRB20190518C,44.71923,36.495956,0
FRB20190518D,11.640573,42.06775,0
FRB20190518E,42.81382,23.77921,1
FRB20190518G,44.12758,30.610952,0
FRB20190519A,3.8572886,60.23168,1
FRB20190519B,-54.325714,-9.724883,1
FRB20190519C,43.10045,24.077374,1
FRB20190519D,-4.2352157,-9.736816,0
FRB20190519E,39.41157,22.492695,0
FRB20190519F,10.026336,50.356632,0
FRB20190519G,2.1926074,7.9779654,0
FRB20190519H,-5.3534403,31.419853,0
FRB20190519J,12.231421,42.748344,0
FRB20190520A,-42.596897,31.100458,0
FRB20190527A,11.811249,42.93011,0
FRB20190527B,-9.166662,14.079158,1
FRB20190527C,5.9709125,48.64807,0
FRB20190529A,-20.279709,21.264051,0
FRB20190530A,11.669506,45.081467,0
FRB20190531A,-14.1254425,21.875423,0
FRB20190531B,12.998466,34.865284,0
FRB20190531C,-19.321943,22.706272,0
FRB20190531E,12.409752,42.026157,0
FRB20190601A,10.767619,60.060146,0
FRB20190601B,8.673493,49.036816,0
FRB20190601C,17.586405,15.8011055,0
FRB20190601D,13.800553,64.158455,0
FRB20190603A,-16.205917,4.6566215,1
FRB20190603B,12.448218,41.247692,0
FRB20190604A,2.9625096,54.414974,1
FRB20190604C,2.7096019,5.764886,0
FRB20190604D,38.46452,26.63959,0
FRB20190604E,11.124936,49.33266,0
FRB20190604F,7.0969787,55.179806,1
FRB20190604G,6.392356,54.62565,0
FRB20190605A,4.8039923,55.644604,1
FRB20190605B,1.3081535,-21.635958,1
FRB20190605C,-40.53181,26.432228,0
FRB20190605D,-8.102311,13.214742,0
FRB20190606A,38.34016,13.895449,1
FRB20190606B,38.917774,26.604868,0
FRB20190607A,37.271378,36.106552,0
FRB20190607B,37.795853,17.364761,0
FRB20190607C,-23.35517,19.059177,0
FRB20190608A,40.440086,21.588863,0
FRB20190609A,-3.1275847,5.25657,0
FRB20190609B,14.445382,41.67536,0
FRB20190609C,-14.727317,-5.8187585,1
FRB20190609D,5.2432685,61.697906,0
FRB20190611A,12.169823,62.97023,1
FRB20190612A,-13.405307,-9.22298,0
FRB20190612B,11.923542,50.830444,0
FRB20190612C,-2.3481274,27.260788,0
FRB20190613A,41.76322,20.591648,0
FRB20190613B,1.9697073,63.57374,0
FRB20190614A,10.852486,51.871357,0
FRB20190614B,-4.674427,30.170326,0
FRB20190614C,-19.035099,16.414423,0
FRB20190616A,42.923386,25.478004,0
FRB20190617A,-6.1343317,32.048374,0
FRB20190617B,40.985664,29.841856,0
FRB20190617C,-3.7959816,5.4793477,0
FRB20190618A,1.2743372,65.60335,0
FRB20190618B,-1.0206493,61.754932,0
FRB20190619A,0.3228043,-24.708876,0
FRB20190619B,12.146587,55.160934,0
FRB20190619C,-10.870083,15.882646,0
FRB20190619D,42.766823,21.890078,0
FRB20190621A,34.612488,28.828007,1
FRB20190621B,4.564628,62.26967,0
FRB20190621C,-21.416012,24.232088,0
FRB20190621D,34.574257,30.126556,0
FRB20190622A,12.503696,49.643826,0
FRB20190623A,-17.267231,22.647898,0
FRB20190623B,8.919166,62.234505,0
FRB20190623C,-10.005887,19.179968,0
FRB20190624A,39.08629,30.269999,0
FRB20190624B,17.744368,14.004535,0
FRB20190625A,-47.09974,-4.517432,0
FRB20190625C,42.522514,35.583984,0
FRB20190625D,-41.984974,27.084358,0
FRB20190625E,2.3517735,60.397003,1
FRB20190626A,-0.19550182,-21.226503,1
FRB20190627A,-20.08012,21.158123,0
FRB20190627B,45.954365,14.3400755,0
FRB20190627C,-4.638864,28.617413,0
FRB20190627D,1.1243374,-21.552332,0
FRB20190628A,40.001575,21.727806,0
FRB20190628B,-16.74026,25.73335,0
FRB20190628C,5.762676,59.43584,0
FRB20190629A,43.31155,30.387856,0
FRB20190630A,41.32803,40.967884,1
FRB20190630B,41.31796,40.967876,0
FRB20190630C,15.530898,42.44239,0
